protein value method
1i6c 3.509670734 Melhor
1i6c 9.731151581 MUFOLD-CL
1i6c 10.043744087 Rosetta
1i6c 3.918727636 Melhor
1i6c 7.862038612 MUFOLD-CL
1i6c 9.009642601 Rosetta
1i6c 3.157529354 Melhor
1i6c 4.974725246 MUFOLD-CL
1i6c 8.098659515 Rosetta
1i6c 4.341956615 Melhor
1i6c 8.279644966 MUFOLD-CL
1i6c 8.796881676 Rosetta
1i6c 3.603116512 Melhor
1i6c 5.450033665 MUFOLD-CL
1i6c 8.10364151 Rosetta
1i6c 3.745216608 Melhor
1i6c 4.851276398 MUFOLD-CL
1i6c 8.214837074 Rosetta
1i6c 3.911772966 Melhor
1i6c 5.405224323 MUFOLD-CL
1i6c 8.294242859 Rosetta
1i6c 3.166157484 Melhor
1i6c 3.166157484 MUFOLD-CL
1i6c 8.44865036 Rosetta
1i6c 3.592666149 Melhor
1i6c 6.43669796 MUFOLD-CL
1i6c 6.923519611 Rosetta
1i6c 3.777701378 Melhor
1i6c 5.78990984 MUFOLD-CL
1i6c 7.49368 Rosetta
1i6c 4.37587595 Melhor
1i6c 5.268856049 MUFOLD-CL
1i6c 9.193185806 Rosetta
1i6c 3.532029629 Melhor
1i6c 5.460080147 MUFOLD-CL
1i6c 8.733231544 Rosetta
1i6c 4.404490471 Melhor
1i6c 6.191666126 MUFOLD-CL
1i6c 8.898392677 Rosetta
1i6c 3.516379595 Melhor
1i6c 6.053720951 MUFOLD-CL
1i6c 10.060648918 Rosetta
1i6c 3.735466003 Melhor
1i6c 6.525635242 MUFOLD-CL
1i6c 10.035467148 Rosetta
1i6c 3.606086731 Melhor
1i6c 3.646014929 MUFOLD-CL
1i6c 8.590758324 Rosetta
1i6c 4.508069992 Melhor
1i6c 5.214821815 MUFOLD-CL
1i6c 9.397186279 Rosetta
1i6c 4.119661808 Melhor
1i6c 5.474634647 MUFOLD-CL
1i6c 8.140621185 Rosetta
1i6c 3.514619827 Melhor
1i6c 5.116839409 MUFOLD-CL
1i6c 6.935577393 Rosetta
1i6c 3.971154213 Melhor
1i6c 6.08738184 MUFOLD-CL
1i6c 8.248127937 Rosetta
1i6c 2.89756012 Melhor
1i6c 4.53788662 MUFOLD-CL
1i6c 7.311521053 Rosetta
1i6c 3.337929726 Melhor
1i6c 4.300724506 MUFOLD-CL
1i6c 8.872262955 Rosetta
1crn 2.942356586 Melhor
1crn 4.999419689 MUFOLD-CL
1crn 8.270058632 Rosetta
1crn 2.735813618 Melhor
1crn 4.914580822 MUFOLD-CL
1crn 6.678424835 Rosetta
1crn 1.628763914 Melhor
1crn 2.592609644 MUFOLD-CL
1crn 6.762744427 Rosetta
1crn 3.387892485 Melhor
1crn 4.772255421 MUFOLD-CL
1crn 7.465584278 Rosetta
1crn 2.801086903 Melhor
1crn 2.801086903 MUFOLD-CL
1crn 7.435273647 Rosetta
1crn 2.003196716 Melhor
1crn 2.964877844 MUFOLD-CL
1crn 6.599642277 Rosetta
1crn 2.958596468 Melhor
1crn 3.821285009 MUFOLD-CL
1crn 8.82191658 Rosetta
1crn 2.713955641 Melhor
1crn 4.580609798 MUFOLD-CL
1crn 8.482419968 Rosetta
1crn 2.316723824 Melhor
1crn 2.426390886 MUFOLD-CL
1crn 6.779588223 Rosetta
1crn 2.323337555 Melhor
1crn 4.613044262 MUFOLD-CL
1crn 8.114575386 Rosetta
1crn 2.639655828 Melhor
1crn 2.868821621 MUFOLD-CL
1crn 7.011340141 Rosetta
1crn 1.811923385 Melhor
1crn 2.366546154 MUFOLD-CL
1crn 6.56025362 Rosetta
1crn 2.718319178 Melhor
1crn 3.006562471 MUFOLD-CL
1crn 6.1583395 Rosetta
1crn 1.87025857 Melhor
1crn 1.87025857 MUFOLD-CL
1crn 8.660372734 Rosetta
1crn 2.955735445 Melhor
1crn 4.02088213 MUFOLD-CL
1crn 9.042984009 Rosetta
1crn 2.555335283 Melhor
1crn 4.192533016 MUFOLD-CL
1crn 6.397346497 Rosetta
1crn 1.977407932 Melhor
1crn 2.202818871 MUFOLD-CL
1crn 7.232591629 Rosetta
1crn 3.553352356 Melhor
1crn 3.650009155 MUFOLD-CL
1crn 11.026640892 Rosetta
1crn 2.582968473 Melhor
1crn 3.311458111 MUFOLD-CL
1crn 6.240113735 Rosetta
1crn 2.868769407 Melhor
1crn 4.942695618 MUFOLD-CL
1crn 6.66485548 Rosetta
1crn 3.013591528 Melhor
1crn 5.27784586 MUFOLD-CL
1crn 6.642372131 Rosetta
1crn 2.693795204 Melhor
1crn 3.3595469 MUFOLD-CL
1crn 8.287946701 Rosetta
1crn 1.835941076 Melhor
1crn 3.901122808 MUFOLD-CL
1crn 7.943047047 Rosetta
1crn 1.71653235 Melhor
1crn 1.860017657 MUFOLD-CL
1crn 6.350469112 Rosetta
1crn 2.164647818 Melhor
1crn 2.633046627 MUFOLD-CL
1crn 7.231863022 Rosetta
1crn 2.053126574 Melhor
1crn 4.351182461 MUFOLD-CL
1crn 7.277060986 Rosetta
1crn 2.684681654 Melhor
1crn 3.266692638 MUFOLD-CL
1crn 6.876435757 Rosetta
1crn 2.992446899 Melhor
1crn 4.663725376 MUFOLD-CL
1crn 8.045433998 Rosetta
1crn 2.715879917 Melhor
1crn 2.95915246 MUFOLD-CL
1crn 10.27474308 Rosetta
1crn 2.474733591 Melhor
1crn 5.563238144 MUFOLD-CL
1crn 8.013408661 Rosetta
1crn 2.636946201 Melhor
1crn 3.479920626 MUFOLD-CL
1crn 6.371490479 Rosetta
1crn 3.215006351 Melhor
1crn 4.49534893 MUFOLD-CL
1crn 6.429484367 Rosetta
1gb1 2.470010042 Melhor
1gb1 2.708749056 MUFOLD-CL
1gb1 1.922227502 Rosetta
1gb1 2.674984932 Melhor
1gb1 2.979332924 MUFOLD-CL
1gb1 1.675615072 Rosetta
1gb1 2.317034483 Melhor
1gb1 2.707136631 MUFOLD-CL
1gb1 4.426659107 Rosetta
1gb1 2.344396591 Melhor
1gb1 2.352238178 MUFOLD-CL
1gb1 2.243506432 Rosetta
1gb1 2.457987547 Melhor
1gb1 5.113996983 MUFOLD-CL
1gb1 1.762618542 Rosetta
1gb1 2.433022499 Melhor
1gb1 4.173816681 MUFOLD-CL
1gb1 1.483333468 Rosetta
1gb1 2.601954222 Melhor
1gb1 6.734226704 MUFOLD-CL
1gb1 2.220076799 Rosetta
1gb1 2.19436264 Melhor
1gb1 2.316951275 MUFOLD-CL
1gb1 2.623497725 Rosetta
1gb1 2.244095087 Melhor
1gb1 2.826425076 MUFOLD-CL
1gb1 2.394467592 Rosetta
1gb1 2.724836826 Melhor
1gb1 6.928461552 MUFOLD-CL
1gb1 2.733027697 Rosetta
1gb1 2.24498558 Melhor
1gb1 2.742529631 MUFOLD-CL
1gb1 2.184414625 Rosetta
1gb1 2.082383633 Melhor
1gb1 2.355964422 MUFOLD-CL
1gb1 1.861716151 Rosetta
1gb1 2.299290657 Melhor
1gb1 3.097603798 MUFOLD-CL
1gb1 1.805318832 Rosetta
1gb1 2.201559782 Melhor
1gb1 2.421614408 MUFOLD-CL
1gb1 4.245346069 Rosetta
1gb1 2.013405323 Melhor
1gb1 2.778885603 MUFOLD-CL
1gb1 1.873273134 Rosetta
1gb1 2.046368361 Melhor
1gb1 2.12306118 MUFOLD-CL
1gb1 2.046480894 Rosetta
1gb1 2.332511663 Melhor
1gb1 2.369276762 MUFOLD-CL
1gb1 2.241240263 Rosetta
1gb1 2.409173965 Melhor
1gb1 2.483187199 MUFOLD-CL
1gb1 11.660904884 Rosetta
1gb1 2.17003727 Melhor
1gb1 2.755396605 MUFOLD-CL
1gb1 2.542698145 Rosetta
1gb1 2.547264576 Melhor
1gb1 2.93599844 MUFOLD-CL
1gb1 1.929914474 Rosetta
1gb1 2.25406146 Melhor
1gb1 3.479405642 MUFOLD-CL
1gb1 3.38550663 Rosetta
1gb1 3.12608552 Melhor
1gb1 4.889615536 MUFOLD-CL
1gb1 2.886902094 Rosetta
1gb1 3.136847973 Melhor
1gb1 6.243979454 MUFOLD-CL
1gb1 11.701350212 Rosetta
1gb1 2.296642303 Melhor
1gb1 2.419417858 MUFOLD-CL
1gb1 1.637702346 Rosetta
1gb1 2.298564196 Melhor
1gb1 2.474475384 MUFOLD-CL
1gb1 4.582837582 Rosetta
1gb1 2.403785944 Melhor
1gb1 2.531720877 MUFOLD-CL
1gb1 1.640695214 Rosetta
1gb1 2.216868401 Melhor
1gb1 2.574447632 MUFOLD-CL
1gb1 2.731024981 Rosetta
1gb1 2.277781725 Melhor
1gb1 2.55769372 MUFOLD-CL
1gb1 3.016429424 Rosetta
1gb1 2.261744022 Melhor
1gb1 2.438575268 MUFOLD-CL
1gb1 1.62946558 Rosetta
1gb1 2.247629166 Melhor
1gb1 2.358861208 MUFOLD-CL
1gb1 1.859770536 Rosetta
1gb1 2.5369699 Melhor
1gb1 2.681412935 MUFOLD-CL
1gb1 4.608815193 Rosetta
1gb1 2.248362541 Melhor
1gb1 2.286491156 MUFOLD-CL
1gb1 2.688716173 Rosetta
1hhp 7.976615906 Melhor
1hhp 17.847455978 MUFOLD-CL
1hhp 13.684400558 Rosetta
1hhp 5.933325768 Melhor
1hhp 13.269248962 MUFOLD-CL
1hhp 15.121077538 Rosetta
1hhp 8.371230125 Melhor
1hhp 10.159942627 MUFOLD-CL
1hhp 15.977647781 Rosetta
1hhp 5.609955311 Melhor
1hhp 6.440479755 MUFOLD-CL
1hhp 16.039226532 Rosetta
1hhp 8.648498535 Melhor
1hhp 17.928573608 MUFOLD-CL
1hhp 14.620224953 Rosetta
1hhp 7.268204212 Melhor
1hhp 14.015063286 MUFOLD-CL
1hhp 13.111163139 Rosetta
1hhp 8.943039894 Melhor
1hhp 14.079520226 MUFOLD-CL
1hhp 12.367020607 Rosetta
1hhp 6.203288078 Melhor
1hhp 7.31726265 MUFOLD-CL
1hhp 13.332330704 Rosetta
1hhp 7.568356514 Melhor
1hhp 8.327550888 MUFOLD-CL
1hhp 16.11382103 Rosetta
1hhp 12.934972763 Melhor
1hhp 14.657312393 MUFOLD-CL
1hhp 18.004787445 Rosetta
1hhp 9.068400383 Melhor
1hhp 13.403196335 MUFOLD-CL
1hhp 15.319599152 Rosetta
1hhp 7.732925892 Melhor
1hhp 9.944590569 MUFOLD-CL
1hhp 13.819346428 Rosetta
1hhp 11.022426605 Melhor
1hhp 13.987646103 MUFOLD-CL
1hhp 15.997562408 Rosetta
1hhp 6.172795773 Melhor
1hhp 8.817097664 MUFOLD-CL
1hhp 15.850453377 Rosetta
1hhp 5.881789684 Melhor
1hhp 6.88439846 MUFOLD-CL
1hhp 14.277992249 Rosetta
1hhp 7.00782299 Melhor
1hhp 11.783733368 MUFOLD-CL
1hhp 12.839399338 Rosetta
1hhp 9.887269974 Melhor
1hhp 12.321275711 MUFOLD-CL
1hhp 13.412460327 Rosetta
1hhp 9.12238121 Melhor
1hhp 14.385508537 MUFOLD-CL
1hhp 16.977996826 Rosetta
1hhp 9.281475067 Melhor
1hhp 11.979314804 MUFOLD-CL
1hhp 15.036054611 Rosetta
1hhp 8.172539711 Melhor
1hhp 9.474072456 MUFOLD-CL
1hhp 14.314501762 Rosetta
1hhp 6.987356663 Melhor
1hhp 7.402803898 MUFOLD-CL
1hhp 12.735632896 Rosetta
1hhp 6.423279285 Melhor
1hhp 9.525797844 MUFOLD-CL
1hhp 16.396209717 Rosetta
1hhp 9.626630783 Melhor
1hhp 14.142784119 MUFOLD-CL
1hhp 14.726539612 Rosetta
1hhp 7.720610142 Melhor
1hhp 11.999828339 MUFOLD-CL
1hhp 14.748520851 Rosetta
1hhp 7.643523216 Melhor
1hhp 9.87171936 MUFOLD-CL
1hhp 15.319876671 Rosetta
1hhp 9.453597069 Melhor
1hhp 11.009881973 MUFOLD-CL
1hhp 13.85223484 Rosetta
1hhp 8.934603691 Melhor
1hhp 11.749302864 MUFOLD-CL
1hhp 14.591552734 Rosetta
1hhp 8.856340408 Melhor
1hhp 14.86143589 MUFOLD-CL
1hhp 13.364850044 Rosetta
1hhp 7.949142933 Melhor
1hhp 8.21969223 MUFOLD-CL
1hhp 13.56768322 Rosetta
1hhp 8.640457153 Melhor
1hhp 13.271081924 MUFOLD-CL
1hhp 17.214931488 Rosetta
1hhp 5.531522274 Melhor
1hhp 6.889937401 MUFOLD-CL
1hhp 15.5554533 Rosetta
1hhp 8.932770729 Melhor
1hhp 12.633654594 MUFOLD-CL
1hhp 15.612351418 Rosetta
T0868 4.464500904 Melhor
T0868 9.917110443 MUFOLD-CL
T0868 14.698393822 Rosetta
T0868 5.51294136 Melhor
T0868 11.006584167 MUFOLD-CL
T0868 16.818567276 Rosetta
T0868 4.901333809 Melhor
T0868 9.34780407 MUFOLD-CL
T0868 15.373532295 Rosetta
T0868 4.640351772 Melhor
T0868 7.845134735 MUFOLD-CL
T0868 14.228108406 Rosetta
T0868 4.363349438 Melhor
T0868 5.352297306 MUFOLD-CL
T0868 15.177186012 Rosetta
T0868 4.784145832 Melhor
T0868 6.398313999 MUFOLD-CL
T0868 17.350484848 Rosetta
T0868 7.661389828 Melhor
T0868 10.468183517 MUFOLD-CL
T0868 12.961540222 Rosetta
T0868 7.858267784 Melhor
T0868 9.999660492 MUFOLD-CL
T0868 16.218856812 Rosetta
T0868 4.885373116 Melhor
T0868 7.192378521 MUFOLD-CL
T0868 17.142444611 Rosetta
T0868 4.755251408 Melhor
T0868 11.715584755 MUFOLD-CL
T0868 14.557666779 Rosetta
T0868 3.802991867 Melhor
T0868 5.285648346 MUFOLD-CL
T0868 13.171990395 Rosetta
T0868 5.729846954 Melhor
T0868 6.802841663 MUFOLD-CL
T0868 17.190231323 Rosetta
T0868 4.503263474 Melhor
T0868 6.295567513 MUFOLD-CL
T0868 13.990696907 Rosetta
T0868 5.131915569 Melhor
T0868 7.739152908 MUFOLD-CL
T0868 13.261685371 Rosetta
T0868 5.392998219 Melhor
T0868 7.979151249 MUFOLD-CL
T0868 15.61287117 Rosetta
T0868 5.438554764 Melhor
T0868 11.023257256 MUFOLD-CL
T0868 17.684913635 Rosetta
T0868 4.827630997 Melhor
T0868 7.67552042 MUFOLD-CL
T0868 14.60704422 Rosetta
T0868 4.063457012 Melhor
T0868 9.013186455 MUFOLD-CL
T0868 14.319498062 Rosetta
T0868 3.503209829 Melhor
T0868 6.052084923 MUFOLD-CL
T0868 13.658744812 Rosetta
T0868 5.17972374 Melhor
T0868 5.86933136 MUFOLD-CL
T0868 16.360561371 Rosetta
T0868 4.474617958 Melhor
T0868 6.610787868 MUFOLD-CL
T0868 15.922322273 Rosetta
T0868 5.606851578 Melhor
T0868 8.725340843 MUFOLD-CL
T0868 16.910549164 Rosetta
T0868 5.916525364 Melhor
T0868 7.20687294 MUFOLD-CL
T0868 16.565799713 Rosetta
T0868 5.417789459 Melhor
T0868 6.446339607 MUFOLD-CL
T0868 15.297862053 Rosetta
T0868 4.711819649 Melhor
T0868 5.277446747 MUFOLD-CL
T0868 13.434267044 Rosetta
T0868 7.885961533 Melhor
T0868 9.050645828 MUFOLD-CL
T0868 14.338565826 Rosetta
T0868 4.25818634 Melhor
T0868 6.747007847 MUFOLD-CL
T0868 14.79992485 Rosetta
T0868 5.72500658 Melhor
T0868 6.748940468 MUFOLD-CL
T0868 15.45189476 Rosetta
T0868 5.137328148 Melhor
T0868 6.883034706 MUFOLD-CL
T0868 14.464251518 Rosetta
T0868 4.433686733 Melhor
T0868 5.482566357 MUFOLD-CL
T0868 15.261914253 Rosetta
T0868 5.991961479 Melhor
T0868 8.376714706 MUFOLD-CL
T0868 12.531715393 Rosetta
T0868 4.55014801 Melhor
T0868 10.386861801 MUFOLD-CL
T0868 15.819939613 Rosetta
T0900 6.276793003 Melhor
T0900 12.121655464 MUFOLD-CL
T0900 15.22683239 Rosetta
T0900 7.540774345 Melhor
T0900 11.338886261 MUFOLD-CL
T0900 16.3396492 Rosetta
T0900 9.286854744 Melhor
T0900 11.676925659 MUFOLD-CL
T0900 14.235246658 Rosetta
T0900 6.371870518 Melhor
T0900 7.030945778 MUFOLD-CL
T0900 15.428240776 Rosetta
T0900 6.575718403 Melhor
T0900 7.520267963 MUFOLD-CL
T0900 13.755322456 Rosetta
T0900 8.067271233 Melhor
T0900 16.491340637 MUFOLD-CL
T0900 15.988333702 Rosetta
T0900 8.283756256 Melhor
T0900 12.723155975 MUFOLD-CL
T0900 14.195097923 Rosetta
T0900 7.570612431 Melhor
T0900 10.645547867 MUFOLD-CL
T0900 15.949680328 Rosetta
T0900 7.960468292 Melhor
T0900 9.809521675 MUFOLD-CL
T0900 16.851373672 Rosetta
T0900 8.255167007 Melhor
T0900 9.985737801 MUFOLD-CL
T0900 16.190105438 Rosetta
T0900 8.077917099 Melhor
T0900 9.06274128 MUFOLD-CL
T0900 15.587609291 Rosetta
T0900 7.023547173 Melhor
T0900 15.465533257 MUFOLD-CL
T0900 13.157633781 Rosetta
T0900 8.024013519 Melhor
T0900 11.653624535 MUFOLD-CL
T0900 15.365056992 Rosetta
T0900 6.816945076 Melhor
T0900 14.314362526 MUFOLD-CL
T0900 16.890800476 Rosetta
T0900 7.598016739 Melhor
T0900 10.145562172 MUFOLD-CL
T0900 15.855636597 Rosetta
T0900 8.16224575 Melhor
T0900 10.588131905 MUFOLD-CL
T0900 14.909370422 Rosetta
T0900 7.430201054 Melhor
T0900 8.919733047 MUFOLD-CL
T0900 14.31053257 Rosetta
T0900 6.407992363 Melhor
T0900 7.633728504 MUFOLD-CL
T0900 14.633992195 Rosetta
T0900 6.644164562 Melhor
T0900 7.563532352 MUFOLD-CL
T0900 14.85811615 Rosetta
T0900 8.78907299 Melhor
T0900 10.206620216 MUFOLD-CL
T0900 13.891018867 Rosetta
T0900 7.335936546 Melhor
T0900 8.260342598 MUFOLD-CL
T0900 14.723377228 Rosetta
T0900 7.384735584 Melhor
T0900 8.215428352 MUFOLD-CL
T0900 16.521831512 Rosetta
T0900 6.41745615 Melhor
T0900 6.696901321 MUFOLD-CL
T0900 15.601279259 Rosetta
T0900 7.237313747 Melhor
T0900 10.847701073 MUFOLD-CL
T0900 14.67581749 Rosetta
T0900 8.339818001 Melhor
T0900 11.900488853 MUFOLD-CL
T0900 14.215501785 Rosetta
T0900 7.909786224 Melhor
T0900 10.228159904 MUFOLD-CL
T0900 14.641653061 Rosetta
T0900 7.127771854 Melhor
T0900 12.130754471 MUFOLD-CL
T0900 16.427652359 Rosetta
T0900 8.202464104 Melhor
T0900 10.487155914 MUFOLD-CL
T0900 13.257622719 Rosetta
T0900 7.611409187 Melhor
T0900 10.880317688 MUFOLD-CL
T0900 14.826695442 Rosetta
T0900 8.28181076 Melhor
T0900 11.643173218 MUFOLD-CL
T0900 17.42975235 Rosetta
T0900 4.91423893 Melhor
T0900 9.578620911 MUFOLD-CL
T0900 13.94964695 Rosetta
T0900 7.228168488 Melhor
T0900 7.421936035 MUFOLD-CL
T0900 15.397851944 Rosetta

protein value method
1vii 0.811111111 Melhor
1vii 0.633333333 MUFOLD-CL
1vii 0.405555556 Rosetta
1vii 0.844444444 Melhor
1vii 0.816666667 MUFOLD-CL
1vii 0.461111111 Rosetta
1vii 0.811111111 Melhor
1vii 0.655555556 MUFOLD-CL
1vii 0.433333333 Rosetta
1vii 0.805555556 Melhor
1vii 0.75 MUFOLD-CL
1vii 0.45 Rosetta
1vii 0.827777778 Melhor
1vii 0.694444444 MUFOLD-CL
1vii 0.472222222 Rosetta
1vii 0.788888889 Melhor
1vii 0.65 MUFOLD-CL
1vii 0.45 Rosetta
1vii 0.794444444 Melhor
1vii 0.694444444 MUFOLD-CL
1vii 0.444444444 Rosetta
1vii 0.788888889 Melhor
1vii 0.755555556 MUFOLD-CL
1vii 0.461111111 Rosetta
1vii 0.783333333 Melhor
1vii 0.705555556 MUFOLD-CL
1vii 0.527777778 Rosetta
1vii 0.844444444 Melhor
1vii 0.777777778 MUFOLD-CL
1vii 0.716666667 Rosetta
1vii 0.844444444 Melhor
1vii 0.422222222 MUFOLD-CL
1vii 0.588888889 Rosetta
1vii 0.838888889 Melhor
1vii 0.716666667 MUFOLD-CL
1vii 0.427777778 Rosetta
1vii 0.811111111 Melhor
1vii 0.733333333 MUFOLD-CL
1vii 0.611111111 Rosetta
1vii 0.816666667 Melhor
1vii 0.688888889 MUFOLD-CL
1vii 0.438888889 Rosetta
1vii 0.822222222 Melhor
1vii 0.538888889 MUFOLD-CL
1vii 0.5 Rosetta
1vii 0.816666667 Melhor
1vii 0.622222222 MUFOLD-CL
1vii 0.4 Rosetta
1vii 0.794444444 Melhor
1vii 0.683333333 MUFOLD-CL
1vii 0.416666667 Rosetta
1vii 0.822222222 Melhor
1vii 0.55 MUFOLD-CL
1vii 0.555555556 Rosetta
1vii 0.794444444 Melhor
1vii 0.716666667 MUFOLD-CL
1vii 0.394444444 Rosetta
1vii 0.8 Melhor
1vii 0.688888889 MUFOLD-CL
1vii 0.755555556 Rosetta
1vii 0.811111111 Melhor
1vii 0.6 MUFOLD-CL
1vii 0.433333333 Rosetta
1vii 0.816666667 Melhor
1vii 0.733333333 MUFOLD-CL
1vii 0.516666667 Rosetta
1vii 0.855555556 Melhor
1vii 0.461111111 MUFOLD-CL
1vii 0.488888889 Rosetta
1vii 0.811111111 Melhor
1vii 0.683333333 MUFOLD-CL
1vii 0.672222222 Rosetta
1vii 0.794444444 Melhor
1vii 0.594444444 MUFOLD-CL
1vii 0.577777778 Rosetta
1vii 0.827777778 Melhor
1vii 0.555555556 MUFOLD-CL
1vii 0.616666667 Rosetta
1vii 0.788888889 Melhor
1vii 0.688888889 MUFOLD-CL
1vii 0.444444444 Rosetta
1vii 0.805555556 Melhor
1vii 0.766666667 MUFOLD-CL
1vii 0.588888889 Rosetta
1vii 0.8 Melhor
1vii 0.627777778 MUFOLD-CL
1vii 0.561111111 Rosetta
1vii 0.833333333 Melhor
1vii 0.777777778 MUFOLD-CL
1vii 0.394444444 Rosetta
1vii 0.85 Melhor
1vii 0.777777778 MUFOLD-CL
1vii 0.616666667 Rosetta
1vii 0.833333333 Melhor
1vii 0.766666667 MUFOLD-CL
1vii 0.655555556 Rosetta
1i6c 0.676923077 Melhor
1i6c 0.6 MUFOLD-CL
1i6c 0.584615385 Rosetta
1i6c 0.682051282 Melhor
1i6c 0.58974359 MUFOLD-CL
1i6c 0.502564103 Rosetta
1i6c 0.728205128 Melhor
1i6c 0.620512821 MUFOLD-CL
1i6c 0.523076923 Rosetta
1i6c 0.717948718 Melhor
1i6c 0.630769231 MUFOLD-CL
1i6c 0.476923077 Rosetta
1i6c 0.702564103 Melhor
1i6c 0.625641026 MUFOLD-CL
1i6c 0.558974359 Rosetta
1i6c 0.697435897 Melhor
1i6c 0.574358974 MUFOLD-CL
1i6c 0.523076923 Rosetta
1i6c 0.615384615 Melhor
1i6c 0.523076923 MUFOLD-CL
1i6c 0.430769231 Rosetta
1i6c 0.738461538 Melhor
1i6c 0.533333333 MUFOLD-CL
1i6c 0.476923077 Rosetta
1i6c 0.635897436 Melhor
1i6c 0.6 MUFOLD-CL
1i6c 0.441025641 Rosetta
1i6c 0.712820513 Melhor
1i6c 0.646153846 MUFOLD-CL
1i6c 0.425641026 Rosetta
1i6c 0.682051282 Melhor
1i6c 0.538461538 MUFOLD-CL
1i6c 0.528205128 Rosetta
1i6c 0.666666667 Melhor
1i6c 0.261538462 MUFOLD-CL
1i6c 0.471794872 Rosetta
1i6c 0.676923077 Melhor
